score,axis,metric,score_fairness_gap,ml_fairness_gap,improvement,pct_improvement
sofa,race_cat,eod,0.0,0.09901960784313729,-0.09901960784313729,-9901960.78431373
sofa,race_cat,ppg,0.16666666666666666,0.2222222222222222,-0.05555555555555555,-33.33333333333333
sofa,race_cat,cal_gap,0.14473684210526316,0.15833333333333335,-0.01359649122807019,-9.393939393939403
sofa,race_cat,auroc_gap,,,,
sofa,sex,eod,0.0,0.3913770913770914,-0.3913770913770914,-39137709.13770914
sofa,sex,ppg,0.055100927441352976,0.09502262443438915,-0.039921696993036174,-72.45195107746069
sofa,sex,cal_gap,0.006578947368421045,0.09722222222222222,-0.09064327485380118,-1377.7777777777794
sofa,sex,auroc_gap,0.04613899613899619,0.02985842985842979,0.0162805662805664,35.28591352859157
sofa,age_group,eod,0.0,1.262443438914027,-1.262443438914027,-126244343.8914027
sofa,age_group,ppg,0.22727272727272727,0.3125,-0.08522727272727273,-37.50000000000001
sofa,age_group,cal_gap,0.25,,,
sofa,age_group,auroc_gap,,,,
sofa,insurance_cat,eod,0.0,0.6324058919803601,-0.6324058919803601,-63240589.198036015
sofa,insurance_cat,ppg,0.16129032258064516,0.15789473684210525,0.0033955857385399024,2.1052631578947394
sofa,insurance_cat,cal_gap,0.1875,0.08124999999999999,0.10625000000000001,56.66666666666668
sofa,insurance_cat,auroc_gap,0.029296235679214466,0.2327332242225859,-0.20343698854337144,-694.4134078212273
qsofa,race_cat,eod,0.06274509803921569,0.09901960784313729,-0.036274509803921606,-57.81250000000006
qsofa,race_cat,ppg,0.1875,0.2222222222222222,-0.03472222222222221,-18.518518518518512
qsofa,race_cat,cal_gap,0.24013157894736842,0.15833333333333335,0.08179824561403506,34.06392694063926
qsofa,race_cat,auroc_gap,,,,
qsofa,sex,eod,0.07014157014157008,0.3913770913770914,-0.32123552123552135,-457.98165137614734
qsofa,sex,ppg,0.05654761904761904,0.09502262443438915,-0.03847500538677011,-68.04000952607767
qsofa,sex,cal_gap,0.03965141612200435,0.09722222222222222,-0.05757080610021787,-145.19230769230774
qsofa,sex,auroc_gap,0.09272844272844283,0.02985842985842979,0.06287001287001304,67.80013879250532
qsofa,age_group,eod,0.15384615384615385,1.262443438914027,-1.1085972850678734,-720.5882352941177
qsofa,age_group,ppg,0.25,0.3125,-0.0625,-25.0
qsofa,age_group,cal_gap,0.3055555555555556,,,
qsofa,age_group,auroc_gap,,,,
qsofa,insurance_cat,eod,0.11456628477905084,0.6324058919803601,-0.5178396072013093,-451.9999999999995
qsofa,insurance_cat,ppg,0.1724137931034483,0.15789473684210525,0.014519056261343033,8.421052631578958
qsofa,insurance_cat,cal_gap,0.12597402597402596,0.08124999999999999,0.04472402597402597,35.50257731958763
qsofa,insurance_cat,auroc_gap,0.20261865793780698,0.2327332242225859,-0.030114566284778932,-14.862681744749528
apache2,race_cat,eod,0.0,0.09901960784313729,-0.09901960784313729,-9901960.78431373
apache2,race_cat,ppg,0.16666666666666666,0.2222222222222222,-0.05555555555555555,-33.33333333333333
apache2,race_cat,cal_gap,0.16666666666666666,0.15833333333333335,0.008333333333333304,4.999999999999982
apache2,race_cat,auroc_gap,,,,
apache2,sex,eod,0.0,0.3913770913770914,-0.3913770913770914,-39137709.13770914
apache2,sex,ppg,0.055100927441352976,0.09502262443438915,-0.039921696993036174,-72.45195107746069
apache2,sex,cal_gap,0.055100927441352976,0.09722222222222222,-0.04212129478086925,-76.44389438943894
apache2,sex,auroc_gap,0.01550836550836554,0.02985842985842979,-0.014350064350064251,-92.53112033194938
apache2,age_group,eod,0.0,1.262443438914027,-1.262443438914027,-126244343.8914027
apache2,age_group,ppg,0.22727272727272727,0.3125,-0.08522727272727273,-37.50000000000001
apache2,age_group,cal_gap,0.22727272727272727,,,
apache2,age_group,auroc_gap,,,,
apache2,insurance_cat,eod,0.0,0.6324058919803601,-0.6324058919803601,-63240589.198036015
apache2,insurance_cat,ppg,0.16129032258064516,0.15789473684210525,0.0033955857385399024,2.1052631578947394
apache2,insurance_cat,cal_gap,0.16129032258064516,0.08124999999999999,0.08004032258064517,49.62500000000001
apache2,insurance_cat,auroc_gap,0.019230769230769273,0.2327332242225859,-0.21350245499181664,-1110.2127659574442
news2,race_cat,eod,0.14901960784313723,0.09901960784313729,0.04999999999999993,33.55263157894733
news2,race_cat,ppg,0.25,0.2222222222222222,0.02777777777777779,11.111111111111116
news2,race_cat,cal_gap,0.00735294117647059,0.15833333333333335,-0.15098039215686276,-2053.333333333333
news2,race_cat,auroc_gap,,,,
news2,sex,eod,0.08494208494208494,0.3913770913770914,-0.3064350064350065,-360.7575757575758
news2,sex,ppg,0.12215320910973085,0.09502262443438915,0.0271305846753417,22.2102922003221
news2,sex,cal_gap,0.08465608465608465,0.09722222222222222,-0.012566137566137572,-14.843750000000009
news2,sex,auroc_gap,0.07805662805662805,0.02985842985842979,0.04819819819819826,61.747732893652184
news2,age_group,eod,0.14479638009049772,1.262443438914027,-1.1176470588235294,-771.8750000000001
news2,age_group,ppg,0.35714285714285715,0.3125,0.04464285714285715,12.500000000000004
news2,age_group,cal_gap,0.19230769230769232,,,
news2,age_group,auroc_gap,,,,
news2,insurance_cat,eod,0.03600654664484454,0.6324058919803601,-0.5963993453355156,-1656.3636363636356
news2,insurance_cat,ppg,0.29411764705882354,0.15789473684210525,0.13622291021671828,46.31578947368421
news2,insurance_cat,cal_gap,0.07051282051282053,0.08124999999999999,-0.010737179487179463,-15.22727272727269
news2,insurance_cat,auroc_gap,0.0977086743044191,0.2327332242225859,-0.13502454991816681,-138.19095477386907
