score,age_group,n,mortality_rate,raw_auroc,global_cal_auroc,grp_cal_auroc,ece_raw,ece_global_cal,ece_grp_cal
sofa,18-29,4605,0.028881650380021717,0.8646574508722611,0.8621674378253326,0.8662219053895921,0.10708167450838463,0.03569350290668209,3.8574524199788285e-18
sofa,30-39,5076,0.04156816390858944,0.8403228399000502,0.8430305450967593,0.840954589070788,0.10266176341826462,0.030931139961660442,2.247348616631892e-18
sofa,40-49,8161,0.045827717191520644,0.8370355707338916,0.8363352742710495,0.8371428728396223,0.10727171234462006,0.03037204227328724,5.618880083809695e-18
sofa,50-59,15918,0.062256564895087324,0.8179444030913445,0.816347867729239,0.8182305585805173,0.10794558221998854,0.022144962788656283,1.026187343836412e-17
sofa,60-69,20052,0.08373229603032116,0.7765981797291888,0.7758217179590672,0.7765981797291888,0.09715295786510629,0.005611964219858973,2.41954648793733e-18
sofa,70-79,19463,0.10306735857781431,0.7595445747308684,0.7584524024306755,0.7595500146749989,0.08205883528290146,0.01554887411273957,8.527890981938082e-18
sofa,80+,14040,0.1334045584045584,0.7352866152486982,0.7328971291193114,0.7353573078975536,0.051954732510288086,0.04991869444272284,2.620322050507531e-17
qsofa,18-29,4605,0.028881650380021717,0.7639867782156644,0.7608351715603856,0.7639867782156644,0.34158523344191094,0.048173298879317525,0.0
qsofa,30-39,5076,0.04156816390858944,0.740150411830319,0.7342318426910468,0.740150411830319,0.3332019963225637,0.03356544492344485,0.0
qsofa,40-49,8161,0.045827717191520644,0.7510644368888502,0.7525234021600515,0.7510644368888502,0.33557979005840793,0.031107376444468857,2.9223107888407234e-18
qsofa,50-59,15918,0.062256564895087324,0.7342995244194468,0.7268449474627852,0.7342995244194468,0.32625539221845296,0.01855121880797335,1.5495032209340767e-17
qsofa,60-69,20052,0.08373229603032116,0.7245357413432658,0.7226106899295185,0.7245357413432658,0.31704235653966356,0.0017158847702211345,1.1323283778358883e-17
qsofa,70-79,19463,0.10306735857781431,0.7072876432854156,0.7044448227180747,0.7072876432854156,0.3122677216599017,0.018091191762687888,2.4260994202378198e-17
qsofa,80+,14040,0.1334045584045584,0.6814191678707309,0.6795976802806257,0.6814191678707309,0.3004985754985755,0.04044668739771216,1.1499585709124886e-17
apache2,18-29,4605,0.028881650380021717,0.9138717769378724,0.9124796562067063,0.9181607865818392,0.19061974409742177,0.017024840736631915,2.5917258446732753e-18
apache2,30-39,5076,0.04156816390858944,0.8662094562670785,0.8629791089268056,0.8688173090505253,0.18053817271589487,0.006713018429678798,5.183665422304218e-18
apache2,40-49,8161,0.045827717191520644,0.8618122278389391,0.8607007497069364,0.8640940714985692,0.2011792095836006,0.00947927213627662,0.0
apache2,50-59,15918,0.062256564895087324,0.8370535124284975,0.835750501076311,0.8376345777502986,0.22100766427943208,0.008051138113779941,1.9389496220994694e-18
apache2,60-69,20052,0.08373229603032116,0.8117195692062701,0.8105352076990255,0.8120939986677371,0.23481497127077436,0.005661514710818489,2.0651964302073778e-18
apache2,70-79,19463,0.10306735857781431,0.7962868569065102,0.7953365229396304,0.7969207032051581,0.24691899058343988,0.003604713101149589,3.830420598241754e-18
apache2,80+,14040,0.1334045584045584,0.7670332533217756,0.7658820733403541,0.7671461377657113,0.2218660968660969,0.029559890896534827,8.052873024947605e-18
news2,18-29,4605,0.028881650380021717,0.8757918947637429,0.8748965997283011,0.8798539282015414,0.40599348534201946,0.0447986000744851,3.73690703185449e-19
news2,30-39,5076,0.04156816390858944,0.8579329089199865,0.857922680136189,0.8590230050218457,0.396522852639874,0.03171876769173791,3.86587706072688e-18
news2,40-49,8161,0.045827717191520644,0.8293838146533815,0.8283528560215194,0.8299577521565148,0.4021137115549565,0.030044719400046743,0.0
news2,50-59,15918,0.062256564895087324,0.810589402566422,0.8085009339431044,0.8110081238279235,0.4034269380575449,0.0199139546791574,3.605888325990739e-18
news2,60-69,20052,0.08373229603032116,0.793430875711754,0.792093734147205,0.7935843527287935,0.3908163774187114,0.003524742880684116,1.780055368127807e-18
news2,70-79,19463,0.10306735857781431,0.7824550493561419,0.7802693340611722,0.7824674141635356,0.37866721471510045,0.0170021795205364,2.783686153301528e-18
news2,80+,14040,0.1334045584045584,0.7615349800698071,0.7600234474922343,0.7615761845373895,0.35752136752136754,0.04545568790536942,9.410009966552253e-18
