score,axis,group,auroc,auprc,brier,cal_slope,cal_intercept,n,prevalence,auroc_ci_lo,auroc_ci_hi
sofa,race_cat,White,0.7756409908355331,0.26719050988245246,0.06839517450194497,1.014063497955308,0.0014408352362264149,67054,0.08412622662331852,0.7694428237384217,0.7816948801598398
sofa,race_cat,Other,0.7916436947640602,0.2917853304152861,0.062754587678071,0.9019039715194884,-0.0031123112429450317,6347,0.07814715613675752,0.7703549871591583,0.8112782137883101
sofa,race_cat,Hispanic,0.7976476205223495,0.300005069605655,0.07398623287307696,1.050009332364354,0.0005979780067297547,3565,0.09424964936886396,0.7739037650577608,0.8211213026508913
sofa,race_cat,Black,0.8009122310024352,0.28905786066709616,0.06122400590225732,0.9480614341050634,-0.00964926794625777,9256,0.07627484874675886,0.7841478558175171,0.8178061018448227
sofa,race_cat,Asian,0.7798394391677974,0.23905409986613751,0.06702484127543132,1.0117575470821516,-0.005345103534769538,1093,0.08051235132662397,0.7278955851830925,0.8258130432900038
sofa,sex,Male,0.7768086850508793,0.26729805665261047,0.06659678026037683,0.9195736493002826,-0.00036184986970021205,47645,0.0817294574456921,0.7688041003194974,0.784373363439718
sofa,sex,Female,0.7862392076632028,0.281906688834147,0.0684434917509965,1.1328304622265264,-0.0011990374926067054,39657,0.08502912474468569,0.7785838936197741,0.794592586544572
sofa,age_group,60-69,0.7765981797291888,0.280650809872832,0.06759323336506128,0.9381014781409761,4.459327315978201e-06,20052,0.08373229603032116,0.7651714749767216,0.7881728255576758
sofa,age_group,70-79,0.7595445747308684,0.28619740686291834,0.0825171981099241,1.060214620036423,0.010025159939363926,19463,0.10306735857781431,0.7485608338485468,0.7706608995752733
sofa,age_group,18-29,0.8646574508722611,0.20134440399773754,0.026860448948258637,0.747795794550743,-0.022655960160819506,4605,0.028881650380021717,0.8288954544329918,0.8948360200265403
sofa,age_group,80+,0.7352866152486982,0.3112325875130046,0.10671245003194918,1.2896929765597025,0.029144029161401463,14040,0.1334045584045584,0.7235660499997806,0.7465084362326464
sofa,age_group,50-59,0.8179444030913445,0.28387778181404527,0.05067719471244887,0.9273105098179866,-0.018028231825788485,15918,0.062256564895087324,0.8041239433118594,0.8323508733924506
sofa,age_group,40-49,0.8370355707338916,0.2608866754355474,0.03913946905335662,0.7972435143814753,-0.019069015034854378,8161,0.045827717191520644,0.8138977443133931,0.8591411934625058
sofa,age_group,30-39,0.8403228399000502,0.26873454183352563,0.03521240522100667,0.8806887395906053,-0.02347849302509397,5076,0.04156816390858944,0.807647557357837,0.871235515917925
sofa,diag_type,Cardiac,0.771122317689974,0.25619658063408196,0.060475053974811656,0.899598426142969,-0.010018412547003058,19766,0.07259941313366387,0.7577929462567424,0.7840778672958705
sofa,diag_type,Medical,0.7858243616224997,0.2842006968531908,0.07023495676373774,1.0743248456616108,0.00046802105429095964,62593,0.08764558337194255,0.7798103134839794,0.7915393677816609
sofa,diag_type,Surgical,0.7621600441362707,0.2094595519057385,0.05984973845948955,0.8334451259135717,0.003929702699088572,4956,0.06981436642453591,0.7367646335140962,0.7871076054709356
qsofa,race_cat,White,0.7153702844256603,0.15523684559207063,0.07303741153883427,0.9809915973097365,0.0010242787560539313,67054,0.08412622662331852,0.7098431652899628,0.7213570600753958
qsofa,race_cat,Other,0.7404603431450925,0.16054060566155026,0.067515029156062,1.0540837251756638,-0.0039009297567815238,6347,0.07814715613675752,0.7206983167239814,0.7611880928719917
qsofa,race_cat,Hispanic,0.7170139656977687,0.17953660243406988,0.0802998590858379,1.145348424627426,0.0016137760941427604,3565,0.09424964936886396,0.6911949316255218,0.7420675498789033
qsofa,race_cat,Black,0.7343966502658914,0.15969625412186583,0.06605662169749277,1.078066845453617,-0.006469598773252094,9256,0.07627484874675886,0.7148734536324077,0.7523341043901977
qsofa,race_cat,Asian,0.7076492537313432,0.13876479460933389,0.07108071143169722,0.8499622891924112,0.005379542790224415,1093,0.08051235132662397,0.6569605834024219,0.7523864733494701
qsofa,sex,Male,0.7279613666061395,0.15780766532611723,0.07078455627301931,1.010687937435453,-0.0005856892024660304,47645,0.0817294574456921,0.7208918151225928,0.7345040876143862
qsofa,sex,Female,0.7085680067398418,0.15543028944875883,0.07383623794414819,0.9897155869812697,0.00032934220562827465,39657,0.08502912474468569,0.6998874708960809,0.7163455394633095
qsofa,age_group,60-69,0.7245357413432658,0.16190926869639527,0.07225893735826426,1.0397921674252846,-0.0016860391511015205,20052,0.08373229603032116,0.7127606580059133,0.7354715791086117
qsofa,age_group,70-79,0.7072876432854156,0.1827838105396565,0.08750741006338086,1.1305126003203965,0.006916218163943208,19463,0.10306735857781431,0.696974093038618,0.7177097659514147
qsofa,age_group,18-29,0.7639867782156644,0.07181325860211345,0.03047456263412226,0.4912197328733118,-0.007547790261583906,4605,0.028881650380021717,0.7286097285533654,0.7987280859705198
qsofa,age_group,80+,0.6814191678707309,0.2096525870387924,0.11130483890419102,1.1739093745445655,0.02355383932861671,14040,0.1334045584045584,0.6703977357049288,0.6923000946303718
qsofa,age_group,50-59,0.7342995244194468,0.1272188520606248,0.055983448857714675,0.8290836312003912,-0.003728764986420094,15918,0.062256564895087324,0.720222717875233,0.7466365330123561
qsofa,age_group,40-49,0.7510644368888502,0.1049131314135101,0.04303918817171234,0.710805530053914,-0.006960321606739754,8161,0.045827717191520644,0.7283259518684216,0.7738840469375582
qsofa,age_group,30-39,0.740150411830319,0.0886360677476252,0.04015232512676325,0.6102282429720158,-0.004498263025351376,5076,0.04156816390858944,0.7120636854148,0.7665950576587499
qsofa,diag_type,Cardiac,0.7151437645754217,0.13645407057400744,0.06431405022389455,0.8868863425185055,0.0017495508449612701,19766,0.07259941313366387,0.7027137124132956,0.7280826947597941
qsofa,diag_type,Medical,0.7205547276121747,0.1645720906541191,0.07541289502659566,1.040335842517446,-0.00037417104866832585,62593,0.08764558337194255,0.7143297815074338,0.7260310161067941
qsofa,diag_type,Surgical,0.7029691673040512,0.12739508046096792,0.06250967189692615,0.8389169543884811,0.0025931347898522916,4956,0.06981436642453591,0.679815017142941,0.7284104133887341
apache2,race_cat,White,0.8221393769934378,0.36415738852407475,0.06373229195432305,1.0097638752748566,-5.3995450361457586e-05,67054,0.08412622662331852,0.816488989453348,0.8278932770139709
apache2,race_cat,Other,0.8415689901367839,0.388135300416008,0.058192269836888987,0.9658620918050436,-0.0009755851943867994,6347,0.07814715613675752,0.8237909664578815,0.858232653406781
apache2,race_cat,Hispanic,0.8327042686074121,0.39942591945958555,0.0689633747946186,1.1401862375174279,0.0026546997676757944,3565,0.09424964936886396,0.8095181476833854,0.8557032082827517
apache2,race_cat,Black,0.8271840365786989,0.37442658740519996,0.05773763408035232,0.9149912998620392,-0.0007597390193071901,9256,0.07627484874675886,0.8105574134904738,0.8437642442898722
apache2,race_cat,Asian,0.8233435097241067,0.3061068274141273,0.06446331247384951,0.8979500575592029,0.007238368278087229,1093,0.08051235132662397,0.7850774653900013,0.8637864490123024
apache2,sex,Male,0.8232586058022688,0.3582575035552397,0.06221645596583399,0.9689187588466562,0.0012261166115882793,47645,0.0817294574456921,0.8164187020309441,0.8301335758463263
apache2,sex,Female,0.8259990844525129,0.37772135212562596,0.06375521919230044,1.0401537895747242,-0.001936007934424791,39657,0.08502912474468569,0.8189595162204377,0.8332805575588897
apache2,age_group,60-69,0.8121820587198625,0.353819980461297,0.06427577036307885,0.9362226079629727,0.0011569798033292805,20052,0.08373229603032116,0.8016219305134163,0.8234686561281728
apache2,age_group,70-79,0.7972227557460516,0.3873384367940948,0.07654365632530392,0.9837495886690699,-0.0006124624236058807,19463,0.10306735857781431,0.7867103502431385,0.8079352454421223
apache2,age_group,18-29,0.9117936836725087,0.37194841085256236,0.022063658221299257,0.8769940014312183,-0.011064807422726454,4605,0.028881650380021717,0.8825702827779545,0.9367367525408216
apache2,age_group,80+,0.7665684195357271,0.38693511538523745,0.0994445457065674,1.1498384077481807,0.013738999891509368,14040,0.1334045584045584,0.7546564746409452,0.7775823916499283
apache2,age_group,50-59,0.8372162958959974,0.3515991658529905,0.04799476895130511,0.9321492072505612,-0.002654087700943192,15918,0.062256564895087324,0.8249565036982999,0.8510272380599793
apache2,age_group,40-49,0.8615564196188769,0.3320651850898105,0.03593645443870505,0.8948529355120586,-0.0032042661417469517,8161,0.045827717191520644,0.8403623305244764,0.8813852228516272
apache2,age_group,30-39,0.868412054378163,0.37299967039451015,0.03150003527070573,1.032286110303438,-0.005446029013123771,5076,0.04156816390858944,0.8393210076500254,0.8960233592045652
apache2,diag_type,Cardiac,0.8140276263225392,0.3511800330869371,0.05681383336970387,0.8287490306540104,-0.003353607495863095,19766,0.07259941313366387,0.8023338944285671,0.8257107947423166
apache2,diag_type,Medical,0.8302095727573611,0.38154036823094745,0.06534535081332514,1.0882015023093823,-0.0007605557365795018,62593,0.08764558337194255,0.824360677766686,0.8356218227787334
apache2,diag_type,Surgical,0.8034161724323851,0.3017100397311988,0.056585964535988444,0.8606316538814492,0.0005577313651922156,4956,0.06981436642453591,0.7790763417953273,0.8282789938884204
news2,race_cat,White,0.7898573175954341,0.2770647896457692,0.06774664648352587,0.9899850592898738,-0.00047727561453686507,67054,0.08412622662331852,0.7835781617455728,0.7954867633766055
news2,race_cat,Other,0.8170368933350239,0.29526791059116164,0.06197625444760056,1.0695002528618296,0.0003279628752719116,6347,0.07814715613675752,0.7983014126533484,0.8346179231807275
news2,race_cat,Hispanic,0.7987697982568684,0.3243775091084908,0.0732512607701889,1.1772019264630984,0.003330401092029825,3565,0.09424964936886396,0.7753878234343252,0.8228346160237969
news2,race_cat,Black,0.8098963769196362,0.28427014679776624,0.060967792713102376,0.9976215173053599,-0.0009044137776823141,9256,0.07627484874675886,0.792667310871947,0.8258794750331271
news2,race_cat,Asian,0.7999208502939846,0.2590255929342453,0.06642018826525332,0.8554983387199687,0.015870596660529715,1093,0.08051235132662397,0.7567272981810145,0.8419144118675288
news2,sex,Male,0.7976692486664946,0.2764078648382306,0.06576812207202583,0.9917050268431307,-0.00031486087431044363,47645,0.0817294574456921,0.7897887908582166,0.8045380873929527
news2,sex,Female,0.7899219488002829,0.28490404493986904,0.06808029354418514,1.0093423183661931,0.0005591366949358606,39657,0.08502912474468569,0.7817317445595802,0.7974618021512804
news2,age_group,60-69,0.7937739419851364,0.2835228388200292,0.06701659990143992,0.9979175376222073,-0.0017444498397543723,20052,0.08373229603032116,0.7828145015106114,0.8052287983332419
news2,age_group,70-79,0.7825117332884202,0.3202025763543489,0.08039515942528284,1.1483759052335203,0.00453753076066811,19463,0.10306735857781431,0.7720349951751047,0.7928262098845518
news2,age_group,18-29,0.8756170390197318,0.20622794823652849,0.02847540138462092,0.5314899254950667,-0.011210301352590116,4605,0.028881650380021717,0.845788960416083,0.9019389753379771
news2,age_group,80+,0.7617869460472912,0.34490770523044556,0.10344110983424327,1.2860779210768187,0.021147652933766553,14040,0.1334045584045584,0.750910060528584,0.7732260906726544
news2,age_group,50-59,0.810658964106313,0.2419773785867285,0.05241865228672996,0.811086149014413,-0.004982399558720749,15918,0.062256564895087324,0.7976507529767236,0.8229306698842139
news2,age_group,40-49,0.831222886903924,0.22695066622639568,0.04004471540532336,0.7649387643085134,-0.012468287076097234,8161,0.045827717191520644,0.8103685440548257,0.8531841368822495
news2,age_group,30-39,0.8576016911589212,0.2576499321088087,0.03563978249950069,0.7470797096990058,-0.015370713701709525,5076,0.04156816390858944,0.8300073726792152,0.8813670319697829
news2,diag_type,Cardiac,0.7961871675653873,0.2690499301983544,0.059114546519508544,0.9727327013495337,-0.006203495042001322,19766,0.07259941313366387,0.7846008971639512,0.8080565719990664
news2,diag_type,Medical,0.7973426896741177,0.29015116940959307,0.06969881934784308,1.0316439125130117,0.0009788438720069598,62593,0.08764558337194255,0.7914950093139103,0.8032845572433748
news2,diag_type,Surgical,0.7390004137775381,0.19893142307874986,0.061135289369095534,0.6820958380555497,0.014658312433176168,4956,0.06981436642453591,0.7132900888980748,0.7642544798949048
