model,age_group,auroc
SOFA,18-29,0.8646574508722611
SOFA,30-39,0.8403228399000502
SOFA,40-49,0.8370355707338916
SOFA,50-59,0.8179444030913445
SOFA,60-69,0.7765981797291888
SOFA,70-79,0.7595445747308684
SOFA,80+,0.7352866152486982
APACHE-II,18-29,0.9138717769378724
APACHE-II,30-39,0.8662094562670785
APACHE-II,40-49,0.8618122278389391
APACHE-II,50-59,0.8370535124284975
APACHE-II,60-69,0.8117195692062701
APACHE-II,70-79,0.7962868569065102
APACHE-II,80+,0.7670332533217756
GRU,18-29,0.9283511775861837
GRU,30-39,0.9252344096286951
GRU,40-49,0.897166469001881
GRU,50-59,0.8927706496540818
GRU,60-69,0.8738542265599555
GRU,70-79,0.8604096058048002
GRU,80+,0.8283625489390813
FAFT,18-29,0.9375159723996933
FAFT,30-39,0.9298100855808245
FAFT,40-49,0.898429371865491
FAFT,50-59,0.8990535642109461
FAFT,60-69,0.8784543391043653
FAFT,70-79,0.8645408792811575
FAFT,80+,0.8357641702010432
GA-FAFT,18-29,0.9346274900130469
GA-FAFT,30-39,0.9291924618734262
GA-FAFT,40-49,0.8911565209807378
GA-FAFT,50-59,0.8961039250757994
GA-FAFT,60-69,0.8754171020368826
GA-FAFT,70-79,0.8640034670577259
GA-FAFT,80+,0.8367599009530606
