score,model,demo,rsb
sofa,GA-FAFT,age,0.0033848672073908403
sofa,GA-FAFT,sex,0.028436286684048684
sofa,GA-FAFT,race,0.02143298128504567
sofa,FAFT,age,0.0005954759456182068
sofa,FAFT,sex,0.026819506391244807
sofa,FAFT,race,0.01815484343846216
sofa,GRU,age,0.0329458391074986
sofa,GRU,sex,0.03445118091466637
sofa,GRU,race,0.011783205496669086
apache2,GA-FAFT,age,0.09874006901073434
apache2,GA-FAFT,sex,0.0014276634263276633
apache2,GA-FAFT,race,0.013170903968822756
apache2,FAFT,age,0.08839370898713794
apache2,FAFT,sex,0.0066436787589867485
apache2,FAFT,race,0.013911101769011891
apache2,GRU,age,0.0961619763606476
apache2,GRU,sex,0.0018500838932482833
apache2,GRU,race,0.0028364728525072103
