score,model,demo,rsb_eod,rsb_cal,rsb_auroc
sofa,GA-FAFT,age,0.0033848672073908403,0.07361311785145953,
sofa,GA-FAFT,sex,0.028436286684048684,0.05412920131583194,
sofa,GA-FAFT,race,0.02143298128504567,0.009151514671263558,
sofa,FAFT,age,0.0005954759456182068,0.037499238061663415,
sofa,FAFT,sex,0.026819506391244807,0.05523374744499776,
sofa,FAFT,race,0.01815484343846216,0.014167418016611005,
sofa,GRU,age,0.0329458391074986,0.0516193054538078,
sofa,GRU,sex,0.03445118091466637,0.05523374744499779,
sofa,GRU,race,0.011783205496669086,0.021803625823315187,
apache2,GA-FAFT,age,0.09874006901073434,0.3274073695607194,
apache2,GA-FAFT,sex,0.0014276634263276633,0.017942826905094696,
apache2,GA-FAFT,race,0.013170903968822756,0.035818857073747865,
apache2,FAFT,age,0.08839370898713794,0.013607465716791028,
apache2,FAFT,sex,0.0066436787589867485,0.002318208994225246,
apache2,FAFT,race,0.013911101769011891,0.031827599283834024,
apache2,GRU,age,0.0961619763606476,0.10197889207656435,
apache2,GRU,sex,0.0018500838932482833,0.005482840943785233,
apache2,GRU,race,0.0028364728525072103,0.029956651027082115,
